,step_size,num_steps,FID
0,1,1000,59.885041933977874
1,2,500,37.49738688555942
2,3,333,42.57215524577646
3,4,250,32.60207654162963
4,5,200,42.73608844095335
5,6,166,61.28548462620702
6,7,142,92.03404682607544
7,8,125,123.94071554963824
8,9,111,127.18668521709711
9,10,100,110.83226196638637
10,11,90,122.22581475872286
11,12,83,160.61587431881088
12,13,76,165.21305176352237
13,14,71,179.03655673103037
14,15,66,221.8980027909952
15,16,62,192.90480920173303
16,17,58,166.69718423678768
17,18,55,209.32399335306113
18,19,52,232.43525317911687
19,20,50,226.99891504204945
